Nome,Ultimo,%,Ora,Min,Max,Riferimento,,Link
Amundi Core Eur Corporate Bond Ucits Etf Acc,,,,"20,11","20,11","20,155",,/borsa/etf/scheda/LU2089238625-XPAR.html?lang=it
Amundi Core Eur Corporate Bond Ucits Etf Dist,,,,,,"18,818",,/borsa/etf/scheda/LU1931975079-ETFP.html?lang=it
Amundi Core Euro Government Bond Ucits Etf Acc,"49,321","-0,24",09:24:30,"49,26","49,321","49,442",,/borsa/etf/scheda/LU1437018598-XPAR.html?lang=it
Amundi Core Euro Government Bond Ucits Etf Acc,"49,355","-0,07",09:53:08,"49,305","49,355","49,39",,/borsa/etf/scheda/LU1437018598-ETFP.html?lang=it
Amundi Core Euro Government Bond Ucits Etf Dist,"41,55","-0,16",09:44:56,"41,55","41,55","41,615",,/borsa/etf/scheda/LU1737653714-ETFP.html?lang=it
Amundi Core Euro Stoxx 50 Ucits Etf Eur Acc,"155,32","-0,54",10:19:21,"155,32","155,78","156,16",,/borsa/etf/scheda/LU1681047236-XPAR.html?lang=it
Amundi Core Euro Stoxx 50 Ucits Etf Eur Acc,"155,26","-0,67",10:15:48,"155,26","155,82","156,30",,/borsa/etf/scheda/LU1681047236-ETFP.html?lang=it
Amundi Core Euro Stoxx 50 Ucits Etf Eur Dist,"93,84","-0,40",09:54:45,"93,62","93,84","94,22",,/borsa/etf/scheda/LU1681047319-XPAR.html?lang=it
Amundi Core Euro Stoxx 50 Ucits Etf Usd Acc,"182,12","-0,59",09:30:00,"181,78","182,12","183,20",,/borsa/etf/scheda/LU1681047400-XPMC.html?lang=it
Amundi Core Ftse 100 Swap Ucits Etf Acc,"21,82","-0,16",09:50:43,"21,82","21,82","21,855",,/borsa/etf/scheda/LU1650492173-ETFP.html?lang=it
Amundi Core Ftse 100 Swap Ucits Etf Acc,"21,765","-0,48",10:12:15,"21,765","21,815","21,87",,/borsa/etf/scheda/LU1650492173-XPAR.html?lang=it
Amundi Core Ftse 100 Swap Ucits Etf Eur Hedged Acc,"194,38","-0,48",09:04:12,"194,38","194,38","195,32",,/borsa/etf/scheda/LU1650492330-XPAR.html?lang=it
Amundi Core Global Aggregate Bond Ucits Etf Acc,"48,60","+0,08",09:04:20,"48,60","48,60","48,56",,/borsa/etf/scheda/LU1437024729-XPAR.html?lang=it
Amundi Core Global Aggregate Bond Ucits Etf Acc,,,,"56,736","56,736","56,901",,/borsa/etf/scheda/LU1437024729-XAMC.html?lang=it
Amundi Core Global Aggregate Bond Ucits Etf Acc,"48,54","+0,03",10:10:27,"48,50","48,55","48,525",,/borsa/etf/scheda/LU1437024729-ETFP.html?lang=it
Amundi Core Global Aggregate Bond Ucits Etf Eur Hedged Acc,,,,"49,165","49,165","49,248",,/borsa/etf/scheda/LU1708330318-XPAR.html?lang=it
Amundi Core Global Aggregate Bond Ucits Etf Eur Hedged Acc,"49,285","+0,03",09:04:19,"49,285","49,285","49,27",,/borsa/etf/scheda/LU1708330318-ETFP.html?lang=it
Amundi Core Global Aggregate Bond Ucits Etf Usd Hedged Acc,,,,"58,6763","58,6763","58,7691",,/borsa/etf/scheda/LU1778293313-XPMC.html?lang=it
Amundi Core Global Government Bond Ucits Etf Acc,,,,"52,342","52,342","52,48",,/borsa/etf/scheda/LU1437016204-XAMC.html?lang=it
Amundi Core Global Government Bond Ucits Etf Acc,"44,785","-0,01",09:57:47,"44,745","44,785","44,79",,/borsa/etf/scheda/LU1437016204-ETFP.html?lang=it
Amundi Core Global Government Bond Ucits Etf Acc,,,,"44,713","44,713","44,776",,/borsa/etf/scheda/LU1437016204-XPAR.html?lang=it
Amundi Core Global Government Bond Ucits Etf Eur Hedged Acc,,,,"46,6009","46,6009","46,7168",,/borsa/etf/scheda/LU1708330235-XPAR.html?lang=it
Amundi Core Global Government Bond Ucits Etf Eur Hedged Acc,"46,77","+0,15",09:10:56,"46,77","46,77","46,70",,/borsa/etf/scheda/LU1708330235-ETFP.html?lang=it
Amundi Core Msci Emerging Markets Swap Ucits Etf Acc,"68,49","-0,87",09:59:43,"68,45","68,49","69,09",,/borsa/etf/scheda/LU2573967036-ETFP.html?lang=it
Amundi Core Msci Emerging Markets Swap Ucits Etf Dist,"60,03","-0,92",10:07:40,"60,03","60,03","60,59",,/borsa/etf/scheda/LU2573966905-ETFP.html?lang=it
Amundi Core Msci Emerging Markets Ucits Etf Acc,"92,60","-0,92",10:16:13,"92,58","92,71","93,46",,/borsa/etf/scheda/LU1437017350-ETFP.html?lang=it
Amundi Core Msci Emerging Markets Ucits Etf Acc,"92,63","-0,97",10:17:09,"92,566","92,744","93,54",,/borsa/etf/scheda/LU1437017350-XPAR.html?lang=it
Amundi Core Msci Emerging Markets Ucits Etf Acc,,,,"108,455","108,455","109,565",,/borsa/etf/scheda/LU1437017350-XAMC.html?lang=it
Amundi Core Msci Emerging Markets Ucits Etf Eur Dist,"68,43","-0,77",09:14:54,"68,43","68,43","68,96",,/borsa/etf/scheda/LU1737652583-ETFP.html?lang=it
Amundi Core Msci Emu Ucits Etf Acc,"17,584","-0,54",10:18:54,"17,584","17,642","17,68",,/borsa/etf/scheda/LU1646361276-XPAR.html?lang=it
Amundi Core Msci Emu Ucits Etf Dist,"76,99","-0,50",10:15:32,"76,97","76,99","77,38",,/borsa/etf/scheda/LU1646360971-ETFP.html?lang=it
Amundi Core Msci Emu Ucits Etf Dist,"76,98","-0,50",10:16:07,"76,98","77,03","77,37",,/borsa/etf/scheda/LU1646360971-XPAR.html?lang=it
Amundi Core Msci Europe Ucits Etf Acc,"135,9339","-0,18",09:48:51,"135,5156","135,9339","136,1749",,/borsa/etf/scheda/LU1437015735-XAMC.html?lang=it
Amundi Core Msci Europe Ucits Etf Acc,"115,89","-0,22",10:14:51,"115,81","116,166","116,15",,/borsa/etf/scheda/LU1437015735-XPAR.html?lang=it
Amundi Core Msci Europe Ucits Etf Acc,"115,96","-0,14",10:07:37,"115,78","116,18","116,12",,/borsa/etf/scheda/LU1437015735-ETFP.html?lang=it
Amundi Core Msci Japan Ucits Etf Acc,"3.844,607","-0,09",10:04:52,"3.837,774","3.844,607","3.848,135",,/borsa/etf/scheda/LU1781541252-XAMC.html?lang=it
Amundi Core Msci Japan Ucits Etf Acc,"20,565","-0,19",10:12:26,"20,515","20,565","20,605",,/borsa/etf/scheda/LU1781541252-ETFP.html?lang=it
Amundi Core Msci Japan Ucits Etf Dist,"15.036,681","-0,21",10:00:03,"15.028,669","15.036,681","15.068,543",,/borsa/etf/scheda/LU2090063673-XAMC.html?lang=it
Amundi Core Msci Usa Ucits Etf Acc,"39,445","+0,03",09:45:02,"39,395","39,445","39,435",,/borsa/etf/scheda/IE000FSN19U2-ETFP.html?lang=it
Amundi Core Msci Usa Ucits Etf Dist,"46,26","-0,04",10:04:52,"46,26","46,295","46,28",,/borsa/etf/scheda/IE000IEGVMH6-ETFP.html?lang=it
Amundi Core Msci World Ucits Etf Acc,"171,248","-0,23",09:51:32,"171,144","171,248","171,643",,/borsa/etf/scheda/IE000BI8OT95-XAMC.html?lang=it
Amundi Core Msci World Ucits Etf Acc,"146,21","-0,15",10:12:10,"146,174","146,363","146,423",,/borsa/etf/scheda/IE000BI8OT95-XPAR.html?lang=it
Amundi Core Msci World Ucits Etf Acc,"146,19","-0,14",10:11:37,"146,19","146,37","146,40",,/borsa/etf/scheda/IE000BI8OT95-ETFP.html?lang=it
Amundi Core Nasdaq-100 Swap Ucits Etf Acc,"93,25","+0,16",10:19:51,"93,17","93,35","93,10",,/borsa/etf/scheda/LU1829221024-ETFP.html?lang=it
Amundi Core Nasdaq-100 Swap Ucits Etf Acc,"93,211","+0,13",10:19:39,"93,196","93,337","93,089",,/borsa/etf/scheda/LU1829221024-XPAR.html?lang=it
Amundi Core Nasdaq-100 Swap Ucits Etf Eur Hedged Acc,"18,94","-0,02",09:52:08,"18,926","18,954","18,944",,/borsa/etf/scheda/LU1954152853-ETFP.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Acc,"440,29","-0,04",10:20:00,"440,07","440,63","440,45",,/borsa/etf/scheda/LU1135865084-ETFP.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Acc,"440,06","-0,07",10:11:44,"440,06","440,58","440,39",,/borsa/etf/scheda/LU1135865084-XPAR.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Eur Dist,"62,473","+0,03",10:02:16,"62,443","62,484","62,456",,/borsa/etf/scheda/LU0496786574-XPAR.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Eur Dist,"62,47","-0,02",09:31:01,"62,43","62,47","62,48",,/borsa/etf/scheda/LU0496786574-ETFP.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Eur Hedged Acc,"196,59","-0,19",09:43:51,"196,54","196,65","196,97",,/borsa/etf/scheda/LU0959211326-ETFP.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Eur Hedged Acc,"196,684","-0,26",09:30:00,"196,556","196,684","197,189",,/borsa/etf/scheda/LU0959211326-XPAR.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Eur Hedged Dist,"343,35","-0,19",09:26:34,"343,30","343,35","344,00",,/borsa/etf/scheda/LU0959211243-XPAR.html?lang=it
Amundi Core S&P 500 Swap Ucits Etf Eur Hedged Dist,"343,28","-0,22",09:23:34,"343,28","343,30","344,05",,/borsa/etf/scheda/LU0959211243-ETFP.html?lang=it
Amundi Core Stoxx Europe 600 Ucits Etf Acc,"297,80","-0,25",10:17:15,"297,70","298,70","298,55",,/borsa/etf/scheda/LU0908500753-ETFP.html?lang=it
Amundi Core Stoxx Europe 600 Ucits Etf Acc,"297,95","-0,17",10:19:49,"297,60","298,65","298,45",,/borsa/etf/scheda/LU0908500753-XPAR.html?lang=it
Amundi Core Uk Government Bond Ucits Etf Dist,,,,"114,85","114,85","115,20",,/borsa/etf/scheda/LU1407892592-XPAR.html?lang=it
Amundi Core Us Treasury Bond Ucits Etf Dist,,,,,,"16,124",,/borsa/etf/scheda/LU1931975319-ETFP.html?lang=it
Amundi Core Usd Corporate Bond Ucits Etf Dist,,,,,,"15,182",,/borsa/etf/scheda/LU2037749152-ETFP.html?lang=it
Amundi Corporate Proceeds Bond Ucits Etf Acc,,,,"9,844","9,844","9,849",,/borsa/etf/scheda/LU2370241684-XPAR.html?lang=it
Amundi Corporate Proceeds Bond Ucits Etf Acc,,,,,,"9,85",,/borsa/etf/scheda/LU2370241684-ETFP.html?lang=it
Amundi Dax 50 Esg Ucits Etf Dr,"84,18","-0,20",09:04:11,"84,18","84,18","84,35",,/borsa/etf/scheda/LU2240851688-ETFP.html?lang=it
Amundi Dax Ii Ucits Etf Acc,"220,10","-0,34",09:31:24,"219,90","220,15","220,85",,/borsa/etf/scheda/LU0252633754-ETFP.html?lang=it
Amundi Dax Ii Ucits Etf Acc,"219,90","-0,36",10:12:45,"219,70","220,60","220,70",,/borsa/etf/scheda/LU0252633754-XPAR.html?lang=it
Amundi Dj Global Titans 50 Ucits Etf Dist,"98,76","-0,12",09:54:23,"98,76","98,84","98,875",,/borsa/etf/scheda/FR0007075494-XPAR.html?lang=it
Amundi Dj Global Titans 50 Ucits Etf Dist,"98,81","+0,03",09:42:23,"98,81","98,86","98,78",,/borsa/etf/scheda/FR0007075494-ETFP.html?lang=it
Amundi Dow Jones Industrial Average Ucits Etf Dist,"425,50","-0,39",09:55:07,"425,20","425,50","427,15",,/borsa/etf/scheda/FR0007056841-XPAR.html?lang=it
Amundi Dow Jones Industrial Average Ucits Etf Dist,"425,46","-0,42",09:36:12,"425,46","425,46","427,24",,/borsa/etf/scheda/FR0007056841-ETFP.html?lang=it
Amundi Estoxx 50 Dly 2x Lev Ucits Etf-A,"73,60","-0,97",09:42:53,"73,50","73,63","74,32",,/borsa/etf/scheda/FR0010468983-ETFP.html?lang=it
Amundi Estoxx50 Dly -1x Inv Ucits Etf-A,"7,215","+0,56",09:09:15,"7,215","7,22","7,175",,/borsa/etf/scheda/FR0010424135-ETFP.html?lang=it
Amundi Estoxx50 Dly -2x Inv Ucits Etf-A,"0,49","+1,45",10:14:53,"0,4867","0,49","0,483",,/borsa/etf/scheda/FR0010424143-ETFP.html?lang=it
Amundi Etf Dax Ucits Etf Dr,"428,15","-0,13",09:56:17,"426,70","428,45","428,70",,/borsa/etf/scheda/FR0010655712-XPAR.html?lang=it
Amundi Etf Dax Ucits Etf Dr,"428,00","-0,24",09:56:55,"426,80","428,00","429,05",,/borsa/etf/scheda/FR0010655712-ETFP.html?lang=it
Amundi Eur Corporate Bond 0-1y Esg - Ucits Etf Dr (C),"54,85","+0,04",10:12:49,"54,84","54,85","54,83",,/borsa/etf/scheda/LU2300294316-ETFP.html?lang=it
Amundi Eur Corporate Bond 0-3y Esg - Ucits Etf Dr (C),"54,08","+0,00",09:44:23,"54,08","54,08","54,08",,/borsa/etf/scheda/LU2037748774-ETFP.html?lang=it
Amundi Eur Corporate Bond 0-3y Esg - Ucits Etf Dr (C),,,,"54,083","54,083","54,083",,/borsa/etf/scheda/LU2037748774-XPAR.html?lang=it
Amundi Eur Corporate Bond 1-5y Esg Ucits Etf Acc,"54,92","-0,09",10:04:05,"54,89","54,95","54,97",,/borsa/etf/scheda/LU1525418643-ETFP.html?lang=it
Amundi Eur Corporate Bond 1-5y Esg Ucits Etf Acc,"54,896","-0,13",09:43:30,"54,889","54,949","54,97",,/borsa/etf/scheda/LU1525418643-XPAR.html?lang=it
Amundi Eur Corporate Bond 1-5y Esg Ucits Etf Usd Hedged Acc,,,,"10,404","10,404","10,412",,/borsa/etf/scheda/LU3046359165-XPMC.html?lang=it
Amundi Eur Corporate Bond Climate Paris Aligned Ucits Etf Acc,,,,,,"154,94",,/borsa/etf/scheda/LU1829219127-ETFP.html?lang=it
Amundi Eur Corporate Bond Climate Paris Aligned Ucits Etf Acc,,,,"154,707","154,707","154,885",,/borsa/etf/scheda/LU1829219127-XPAR.html?lang=it
Amundi Eur Corporate Bond Esg - Ucits Etf 2 Dr - Eur (C),"226,9828","-0,10",09:49:37,"226,9297","226,9828","227,2112",,/borsa/etf/scheda/LU1681039647-XPAR.html?lang=it
Amundi Eur Corporate Bond Esg - Ucits Etf 2 Dr - Eur (C),"227,46","+0,11",09:34:55,"227,46","227,46","227,21",,/borsa/etf/scheda/LU1681039647-ETFP.html?lang=it
Amundi Eur Corporate Bond Esg - Ucits Etf Dr (C),"53,952","-0,17",09:14:20,"53,952","53,983","54,043",,/borsa/etf/scheda/LU1437018168-XPAR.html?lang=it
Amundi Eur Corporate Bond Esg - Ucits Etf Dr (C),,,,,,"54,04",,/borsa/etf/scheda/LU1437018168-ETFP.html?lang=it
Amundi Eur Corporate Bond Ex-Financials Esg Ucits Etf Acc,,,,"136,443","136,443","136,822",,/borsa/etf/scheda/LU1829218822-XPAR.html?lang=it
Amundi Eur Floating Rate Corporate Bond Esg Ucits Etf Acc,"111,95","+0,06",10:12:29,"111,86","111,96","111,88",,/borsa/etf/scheda/LU1681041114-ETFP.html?lang=it
Amundi Eur Floating Rate Corporate Bond Esg Ucits Etf Gbp Hedged Acc,,,,"61,319","61,319","61,324",,/borsa/etf/scheda/LU1923163676-XPMC.html?lang=it
Amundi Eur Floating Rate Corporate Bond Esg Ucits Etf Usd Hedged Acc,,,,"63,535","63,535","63,544",,/borsa/etf/scheda/LU1923163759-XPMC.html?lang=it
Amundi Eur Govnmnt Bnd 10-15y Ucits Etf,"199,48","-0,17",10:00:50,"199,00","199,50","199,81",,/borsa/etf/scheda/LU1650489385-ETFP.html?lang=it
Amundi Eur Gvrnmet Green Bnd Ucits Etf,"7,389","-0,34",09:26:28,"7,389","7,397","7,414",,/borsa/etf/scheda/LU2356220926-ETFP.html?lang=it
Amundi Eur Gvrnmnt Bnd 15+Y Ucits Etf A,,,,,,"174,70",,/borsa/etf/scheda/LU1287023268-ETFP.html?lang=it
Amundi Eur Gvrnmnt Bnd 3-5y Ucits Etf A,"151,75","-0,05",10:02:53,"151,64","151,81","151,82",,/borsa/etf/scheda/LU1650488494-ETFP.html?lang=it
Amundi Eur High Yield Corporate Bond Esg Ucits Etf Acc,,,,"11,004","11,004","10,989",,/borsa/etf/scheda/LU2346257210-XPAR.html?lang=it
Amundi Eur High Yield Corporate Bond Esg Ucits Etf Acc,,,,,,"10,996",,/borsa/etf/scheda/LU2346257210-ETFP.html?lang=it
Amundi Eur High Yield Corporate Bond Esg Ucits Etf Dist,"106,19","-0,55",09:04:17,"106,19","106,19","106,78",,/borsa/etf/scheda/LU1812090543-ETFP.html?lang=it
Amundi Eur High Yield Corporate Bond Esg Ucits Etf Dist,,,,"106,672","106,672","106,611",,/borsa/etf/scheda/LU1812090543-XPAR.html?lang=it
Amundi Eur Overnight Return Ucits Etf Acc,"113,475","-0,04",10:06:03,"113,475","113,50","113,515",,/borsa/etf/scheda/FR0010510800-XPAR.html?lang=it
Amundi Eur Overnight Return Ucits Etf-A,"113,488","-0,01",10:04:47,"113,488","113,528","113,496",,/borsa/etf/scheda/FR0010510800-ETFP.html?lang=it
Amundi Euro Aggregate Bond Esg - Ucits Etf Dr (C),"45,47","-0,16",10:16:42,"45,45","45,49","45,545",,/borsa/etf/scheda/LU2182388236-ETFP.html?lang=it
Amundi Euro Aggregate Bond Esg - Ucits Etf Dr (C),"45,445","-0,19",09:05:03,"45,415","45,445","45,53",,/borsa/etf/scheda/LU2182388236-XPAR.html?lang=it
Amundi Euro Corp 0-1y Esg Ucits Etf Dr (C),,,,"54,77","54,77","54,82",,/borsa/etf/scheda/LU2300294316-XPAR.html?lang=it
Amundi Euro Government Bond 0-6 M Ucits Etf Acc,"126,20","+0,01",10:11:50,"126,17","126,20","126,19",,/borsa/etf/scheda/FR0010754200-ETFP.html?lang=it
Amundi Euro Government Bond 0-6 M Ucits Etf Acc,"126,245","+0,01",09:24:56,"126,24","126,245","126,23",,/borsa/etf/scheda/FR0010754200-XPAR.html?lang=it
Amundi Euro Government Bond 1-3y Ucits Etf Acc,"127,51","+0,03",10:18:32,"127,47","127,53","127,47",,/borsa/etf/scheda/LU1650487413-ETFP.html?lang=it
Amundi Euro Government Bond 1-3y Ucits Etf Acc,"127,48","-0,02",10:00:21,"127,44","127,52","127,50",,/borsa/etf/scheda/LU1650487413-XPAR.html?lang=it
Amundi Euro Government Bond 10-15y Ucits Etf Acc,"199,15","-0,40",09:04:07,"199,15","199,32","199,95",,/borsa/etf/scheda/LU1650489385-XPAR.html?lang=it
Amundi Euro Government Bond 15+Y   Ucits Etf Acc,,,,"173,74","173,74","174,88",,/borsa/etf/scheda/LU1287023268-XPAR.html?lang=it
Amundi Euro Government Bond 25+Y - Ucits Etf Acc,"73,02","-0,68",09:07:02,"73,02","73,115","73,522",,/borsa/etf/scheda/LU1686832194-XPAR.html?lang=it
Amundi Euro Government Bond 3-5y Ucits Etf Acc,"151,69","-0,13",09:04:14,"151,69","151,69","151,89",,/borsa/etf/scheda/LU1650488494-XPAR.html?lang=it
Amundi Euro Government Bond 5-7y Ucits Etf Acc,"159,86","-0,12",09:46:42,"159,62","159,86","160,06",,/borsa/etf/scheda/LU1287023003-XPAR.html?lang=it
Amundi Euro Government Bond 5-7y Ucits Etf Dist,,,,"149,69","149,69","150,015",,/borsa/etf/scheda/LU2090062865-XPAR.html?lang=it
Amundi Euro Government Bond 7-10y Ucits Etf Acc,"168,96","-0,11",09:44:44,"168,74","168,96","169,15",,/borsa/etf/scheda/LU1287023185-XPAR.html?lang=it
Amundi Euro Government Bond Highest Rated Investment Grade Ucits Etf Acc,,,,"202,8742","202,8742","203,4207",,/borsa/etf/scheda/LU1681046691-XPAR.html?lang=it
Amundi Euro Government Bond Highest Rated Investment Grade Ucits Etf Acc,,,,,,"203,42",,/borsa/etf/scheda/LU1681046691-ETFP.html?lang=it
Amundi Euro Government Green Bond   Ucits Etf Acc,,,,"7,384","7,384","7,418",,/borsa/etf/scheda/LU2356220926-XPAR.html?lang=it
Amundi Euro Government Inflation-Linked Bond Ucits Etf Acc,"170,07","+0,12",09:31:01,"169,69","170,08","169,87",,/borsa/etf/scheda/LU1650491282-XPAR.html?lang=it
Amundi Euro Government Tilted Green Bond Ucits Etf Acc,"220,1117","-0,11",10:04:05,"219,6624","220,1117","220,3566",,/borsa/etf/scheda/LU1681046261-XPAR.html?lang=it
Amundi Euro Government Tilted Green Bond Ucits Etf Acc,"220,02","-0,12",09:51:47,"219,97","220,02","220,29",,/borsa/etf/scheda/LU1681046261-ETFP.html?lang=it
Amundi Euro Gvrnmnt Bnd 5-7y Ucits Etf,"159,85","-0,09",09:55:46,"159,74","159,93","160,00",,/borsa/etf/scheda/LU1287023003-ETFP.html?lang=it
Amundi Euro High Yield Bond Esg Ucits Etf Dist,,,,"123,75","123,75","123,85",,/borsa/etf/scheda/LU1215415214-XPAR.html?lang=it
Amundi Euro High Yield Bond Esg Ucits Etf Dist,,,,,,"123,70",,/borsa/etf/scheda/LU1215415214-ETFP.html?lang=it
Amundi Euro High Yield Bond Esg Ucits Etf Dr -Eur (C),"263,9654","-0,15",10:00:38,"263,9595","264,1941","264,356",,/borsa/etf/scheda/LU1681040496-XPAR.html?lang=it
Amundi Euro Highest Rated Macro-Weighted Government Bond 1-3y Ucits Etf Acc,,,,"101,199","101,199","101,256",,/borsa/etf/scheda/LU1829219556-XPAR.html?lang=it
