Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ISIN
2026-03-24 00:00:00+01:00,135.17999267578125,135.17999267578125,135.17999267578125,135.17999267578125,0,0.0,0.0,0.0,LU1829218822
2026-03-25 00:00:00+01:00,135.55999755859375,135.55999755859375,135.55999755859375,135.64999389648438,26,0.0,0.0,0.0,LU1829218822
2026-03-26 00:00:00+01:00,135.07000732421875,135.07000732421875,135.07000732421875,134.82000732421875,122,0.0,0.0,0.0,LU1829218822
2026-03-27 00:00:00+01:00,134.49000549316406,134.49000549316406,134.49000549316406,134.52000427246094,50,0.0,0.0,0.0,LU1829218822
2026-03-30 00:00:00+02:00,134.52000427246094,134.52000427246094,134.52000427246094,134.52000427246094,0,0.0,0.0,0.0,LU1829218822
2026-03-31 00:00:00+02:00,135.07000732421875,135.07000732421875,135.07000732421875,135.07000732421875,15,0.0,0.0,0.0,LU1829218822
2026-04-01 00:00:00+02:00,136.10000610351562,136.11000061035156,135.88999938964844,135.7899932861328,882,0.0,0.0,0.0,LU1829218822
2026-04-02 00:00:00+02:00,135.67999267578125,135.67999267578125,135.67999267578125,135.85000610351562,1,0.0,0.0,0.0,LU1829218822
2026-04-07 00:00:00+02:00,135.69000244140625,135.69000244140625,135.69000244140625,135.22999572753906,30,0.0,0.0,0.0,LU1829218822
2026-04-08 00:00:00+02:00,137.0,137.0,136.77999877929688,136.77999877929688,413,0.0,0.0,0.0,LU1829218822
2026-04-09 00:00:00+02:00,136.60000610351562,136.61000061035156,136.3699951171875,136.3800048828125,10856,0.0,0.0,0.0,LU1829218822
2026-04-10 00:00:00+02:00,136.47999572753906,136.47999572753906,136.47999572753906,136.27000427246094,32,0.0,0.0,0.0,LU1829218822
2026-04-13 00:00:00+02:00,136.1300048828125,136.1300048828125,135.83999633789062,135.83999633789062,2882,0.0,0.0,0.0,LU1829218822
2026-04-14 00:00:00+02:00,136.41000366210938,136.57000732421875,136.36000061035156,136.57000732421875,413,0.0,0.0,0.0,LU1829218822
2026-04-15 00:00:00+02:00,136.60000610351562,136.72999572753906,136.58999633789062,136.58999633789062,1259,0.0,0.0,0.0,LU1829218822
2026-04-16 00:00:00+02:00,136.64999389648438,136.74000549316406,136.64999389648438,136.64999389648438,61,0.0,0.0,0.0,LU1829218822
2026-04-17 00:00:00+02:00,136.74000549316406,136.74000549316406,136.74000549316406,137.24000549316406,39,0.0,0.0,0.0,LU1829218822
2026-04-20 00:00:00+02:00,137.0,137.13999938964844,137.0,137.07000732421875,97,0.0,0.0,0.0,LU1829218822
2026-04-21 00:00:00+02:00,137.11000061035156,137.14999389648438,136.72000122070312,136.72000122070312,163,0.0,0.0,0.0,LU1829218822
